wl,n
0.226076263,1.190343
0.227672363,1.188528
0.229268463,1.186753
0.230864594,1.184955
0.232460739,1.183112
0.234056915,1.181223
0.235653107,1.179298
0.237249313,1.177357
0.238845535,1.175429
0.240441772,1.173546
0.24203801,1.171744
0.243634308,1.170051
0.24523056,1.16849
0.246826874,1.167085
0.248423187,1.165859
0.250019531,1.164835
0.251615875,1.164037
0.253212234,1.163486
0.254808594,1.163208
0.256404968,1.163229
0.258001404,1.163571
0.259597809,1.164231
0.261194214,1.165202
0.262790649,1.166472
0.264387085,1.168027
0.265983551,1.169853
0.267580017,1.171934
0.269176483,1.174255
0.27077298,1.1768
0.272369446,1.179554
0.273965973,1.182501
0.275562469,1.185627
0.277158997,1.188915
0.278755524,1.192346
0.280352081,1.195904
0.281948608,1.199571
0.283545135,1.203331
0.285141693,1.207165
0.286738251,1.211057
0.288334839,1.214991
0.289931396,1.218948
0.291527985,1.222912
0.293124573,1.226861
0.29472113,1.230774
0.296317719,1.234632
0.297914307,1.238442
0.299510895,1.242216
0.301107483,1.245968
0.302704071,1.249716
0.30430069,1.253476
0.305897278,1.257267
0.307493866,1.261108
0.309090485,1.265015
0.310687073,1.26901
0.312283661,1.273109
0.31388028,1.277334
0.315476868,1.281703
0.317073456,1.28624
0.318670044,1.290969
0.320266632,1.295909
0.32186322,1.301055
0.323459808,1.3064
0.325056396,1.31193
0.326652954,1.317633
0.328249542,1.323494
0.32984613,1.329501
0.331442688,1.335638
0.333039246,1.341891
0.334635773,1.348247
0.33623233,1.35469
0.337828857,1.361209
0.339425385,1.367788
0.341021912,1.374416
0.342618439,1.38108
0.344214935,1.387766
0.345811462,1.394462
0.347407928,1.401155
0.349004425,1.407836
0.350600891,1.414497
0.352197357,1.421131
0.353793793,1.427731
0.355390259,1.434292
0.356986664,1.440808
0.358583099,1.447274
0.360179504,1.453685
0.361775909,1.460035
0.363372284,1.466322
0.364968658,1.472539
0.366565002,1.478682
0.368161346,1.484748
0.36975766,1.490732
0.371353973,1.49663
0.372950287,1.502438
0.37454657,1.508152
0.376142853,1.513766
0.377739075,1.519277
0.379335327,1.524679
0.380931549,1.529966
0.382527771,1.535135
0.384123932,1.540188
0.385720093,1.545128
0.387316223,1.549959
0.388912384,1.554684
0.390508484,1.559307
0.392104553,1.563832
0.393700623,1.568263
0.395296692,1.572604
0.396892731,1.576859
0.398488708,1.581033
0.400084717,1.585129
0.401680695,1.589152
0.403276642,1.593106
0.404872559,1.596995
0.406468445,1.600823
0.408064331,1.604594
0.409660156,1.608311
0.411256012,1.61198
0.412851807,1.615604
0.414447571,1.619187
0.416043304,1.622732
0.417639069,1.626245
0.419234772,1.629729
0.420830414,1.633189
0.422426086,1.636629
0.424021729,1.640051
0.425617279,1.643456
0.427212891,1.646845
0.428808411,1.650218
0.4304039,1.653576
0.43199942,1.656918
0.433594818,1.660245
0.435190277,1.663557
0.436785645,1.666853
0.438381012,1.670133
0.439976379,1.673398
0.441571625,1.676646
0.443166931,1.679878
0.444762146,1.683093
0.446357361,1.686291
0.447952545,1.689471
0.449547668,1.692633
0.451142761,1.695776
0.452737854,1.6989
0.454332855,1.702004
0.455927887,1.705087
0.457522858,1.708149
0.459117767,1.71119
0.460712708,1.714208
0.462307556,1.717202
0.463902405,1.720172
0.465497162,1.723117
0.467091888,1.726036
0.468686615,1.728927
